price,restaurant_id,id,name
34.1,53,337,"GRILLED AHI TUNA ON BRAISED SHIITAKES WITH WILTED FRISEE AND A CRACKED MUSTARD INFUSION SAUCE, BASIL AIOLI"
25.3,191,1265,LONG-STEM DRISCOLL STRAWBERRIES DIPPED IN CHOCOLATE
32.5,36,234,"Duckhorn 1995, Napa"
25.1,275,1809,"Pinot Noir, Lot # 1 1, Ramsay, 1998.  (California)"
28,265,1744,FREE RANGE YOUNG CHICKEN WITH ROASTED POTATOES ROSEMARY AND OLIVES
18.3,73,469,"Insalata Tre colori ENDIVE, ARUGOLA & RADICCHIO"
11.6,310,2041,"LHereu: Cava, Macabeo, Xarel-Lo"
29.6,393,2578,"Pouilly-Fume, Vieilles Vignes, Regis Minet, 1999 (Loire Valley)"
30,181,1211,Unfiltered Apple Juice
21.9,124,837,Oranges
24,64,411,"SAUTEED ARTICHOKE WITH BASIL Artichoke, Tomato and Soy Protein in a Black Bean Sauce Seasoned with Basil (Taro Spring Roll, Brown Rice)"
24.9,179,1196,Fresh Shrimp Chop Suey
17.5,368,2412,Baked Stuffed Lobster with buttery Crabmeat Stuffing
24,309,2037,Duchess potatoes
28,260,1712,"Chardonnay, Lindemans Bin 65"
17,9,64,Topi-Maki and Mixed Salad
22.9,5,32,Gnocchi Bolognese HOMEMADE DUMPLINGS PASTA WITH MEAT SAUCE
26,308,2027,Shrimp w. Eggplant
17.4,347,2289,Fried Crabmeat Stick
29,371,2438,Mozzarella with Roasted Red Pepper Bruschetta
28.6,91,590,Fish & Chips. Regular or Spicy
25.1,234,1536,Half-Pound Hamburger Served on a Roll with French Fries or Salad
25.5,301,1985,"Cobb Salad: Diced Avocado, Bacon, Turkey, Ham, Tomato, Swiss and Cheddar Cheeses, Choice of Dressing"
13.5,215,1411,"STEAK TARTARE, THE CONVENTIONAL WAY OR LIGHTLY SEARED"
33.2,45,285,Beef w. Eggplant
11,68,437,"Gewurztraminer, Cote de Rouffach, Mure, 1998 (Alsace)"
23.4,216,1421,1/4 lb. Colossal Crab Meat
29.5,288,1902,"Crispy Chicken Wings w. Garlic Sauce, w. Beef Fried Rice"
34.5,218,1429,Burger
15.6,131,880,Kiwi Mineral Water
13.9,18,126,2007 ASSYRTIKO Santorini Sigalas
27.2,58,373,"Valpolicella, Quintarelli 1993"
21.8,339,2225,Steamed Broccoli w. Snow Peas & String Beans
16,419,2749,"Primitivo, A. Mano"
22.5,43,278,"Frogs Leap, 1995, Napa"
17.7,266,1754,"Muscat, Beaumes de Venise"
26.6,320,2104,CAPESANTE IN CROSTA DI ERBE AROMATICHE
18.2,327,2155,Chicken w. Brococli
22.9,157,1055,Kung Po Baby Shrimp
29.2,287,1897,"Chateau Olivier, Grand Cru Classe De Graves 1995 (Bordeaux)"
20.9,330,2175,Fried Fish (2) w. Pork Fried Rice
32,341,2238,Little Neck Clams
22.6,94,613,Fried Chicken Wings (4) w. Shrimp Fried Rice
19.3,419,2752,Handcut French Fries
24.8,352,2316,Lobster Steak with Hash-Brown Potatoes: Lemon Brown Butter
26.4,12,78,"Insalata Di Spinacci WITH BACON, WALNUTS & MUSHROOMS"
21.4,160,1074,"Chianti Classico, Remole, Frescobaldi"
24.7,165,1110,Mahi Mahi
23.8,238,1570,Char-grilled cold water lobster tail on herb spun angel hair with a srirachi garlic viniagrete.  Thirteen
20.9,363,2379,"Wraps: W5  Vegetarian Grilled Eggplant, Squash & Zucchini with Avocado, Sprouts & Humus ... 5.75"
28,180,1205,Baby Shrimp w. Cashew Nuts
31.4,220,1441,Carrot Cake Square
26.6,148,990,"Merlot St. Morillion, 1996, Chile"
29.4,295,1948,Steamers with Drawn Butter
37.1,399,2616,Pastrami Salmon
28.3,263,1734,Glenlivet
19.7,107,708,Orange Spice Tea
27.9,193,1279,"Maryland Crab Cake. With Apple and Mesclun Salad, Cider-Mustard Vinaigrette"
26.2,258,1698,Smoked Chatham Cod Croquettes - with American paddlefish caviar
23.7,424,2785,Cherries
33.5,353,2321,"The Joy of Bonaparte with lemon curd, whipped cream and fresh berries"
34.3,223,1463,"Chianti Classico Riserva, Villa Antinori, Tuscany, Italy 1997"
18.8,395,2587,Home Style Bean Curd
31.8,145,964,Chocolate Mousse
17,243,1602,Chicken w. String Bean
33.6,132,890,"Geyser Peak 1996, Sonoma"
20.2,79,512,Chicken Finger
10.4,126,848,"Beaujolais Brouilly, Chateau de la Chaize 1996 (Burgundy)"
17.8,44,279,Asparagus salad with aromatic herbs and egg dressing
13.4,63,405,Bisque de Homard
19.7,146,975,Modern Liverwurst - with four pickled vegetables
16.6,14,92,Chicken Finger
17.4,376,2468,"Wolf Blass 1996, Australia"
14,3,23,OYSTERS:  Malpeque
30.7,15,105,Seared Sushi Steak Rolls hoisin sauce
17.9,121,819,"Duck Confit with crispy potatoes, wild  mushrooms and frisÃƒÂ©e salad"
17.2,42,267,654 Kracher #1 Beerenauslese Cuvee 2002
20.9,300,1980,"House Spicy Maki Rolls - jalapeno smoked salmon, yellowfin tuna, cucumber, scallion, flying fish roe"
23.9,251,1654,"Specialty Sandwiches: #16  Roast Beef: Vermont Cheddar, Leaf Lettuce, Plum Tomato, No Fat Russian Dressing on French Baguette ... 6.25"
26.3,379,2487,Assorted Teas*
21.3,227,1494,GNOCCHI CON FEGATINI DI POLLO chicken livers
12.5,10,69,Thai Red Curry with sauteed Shrimp
11.4,59,376,Gulf Red Snapper
19.1,164,1099,Fried Fresh Artichokes Alla Giudea (seasonal)
33.5,326,2145,"FRESH RAINBOW TROUT an 8 oz. boneless rainbow trout grilled and topped with a lemon, herb butter served with steamed Basmati rice and fresh vegetables"
28.4,288,1909,Vanilla Italian Soda
29.6,58,369,Chicken w. Bean Curd
34,233,1534,"Sancerre, Bernard Clement 1996, Loire"
12.7,390,2555,"Merlot, Poppy Hill, 1997.  (Napa Valley)"
19.4,52,335,Bamboo Steamed Vegetables
28.9,294,1945,"Pinot Noir, Pedroncelli"
16.5,318,2091,Duck Shepherds Pie
24.7,128,858,"Pan Fried Scallops with Anchovy, Capers & Lemon"
8.2,67,426,"Main Courses with House Salad (balsamic vinaigrette, sesame tamari, honey bleu cheese or ranch dressing) add $1.00"
14.9,358,2355,Lemon Bar
22.4,368,2411,"Apple Fruit Spritzer - Apple juice, club soda & a twist of lime"
35.9,370,2430,Fresh Shrimp Chop Suey
27.9,388,2539,Root Beer ... 1.75
15.9,199,1321,Onion Soup GratinÃƒÂ©e
31.8,183,1225,"Kendall Jackson Vint. Reserve 1996, Calif."
30.5,165,1109,Roast Pork w. Mixed Veg
26.5,297,1958,Franciscan Oakville Estates 95 Napa
8.9,10,70,Tuna. Prepared Medium Rare
22.8,236,1554,Baby Shrimp w. Bean Sprouts
36.5,365,2395,Roast Pork w. Broccoli in Garlic Sauce
23.6,219,1438,Moet & Chandon Brut Imperial N/V
14.4,160,1072,Mango Sorbet
22.6,133,893,Sanka
13.1,51,326,"Chardonnay 1999, Sonoma Cutrer (Russian River)"
20.5,231,1519,"Chardonnay, Glass Mountain"
26.7,211,1386,Way 2Cool Ginger Ale (Taos Brewing Co.)  full bodied drinks
18,112,751,"Grilled Lamb Chops - mashed potato, haricot vert, and a garlic wine sauce"
36.6,348,2294,"Chalk Hill Chardonnay, 1995, Chalk Hill"
22.3,172,1150,Fricassee of Asparagus and Morels with a sweet garlic flan
22.2,353,2323,Mesclun Salad*
32.7,34,223,"Brundlmayer: Austria, Pinot Noir, Pinot Blanc"
25.5,149,995,"Wraps: W1  Asian Chicken Bok Choy Cabbage, Bean Sprouts, Mandarin Orange mixed with a Low Sodium Ginger Sesame Dressing ... 6.25"
26.5,6,43,"CAPPELLACCI DI FORMAGGIO large cheese ravioli, prosciutto & sage"
19.8,372,2447,"Gewurztraminer Fieldstone 1996, Sonoma"
29.7,107,710,"Consomme, Cold"
28.8,86,559,"Chalk Hill Chardonnay, 1995, Chalk Hill"
21.8,416,2727,Poached Red Snapper in a Saffron Broth served with Baby Vegetables
20.8,124,836,"Specialty Sandwiches: #16  Roast Beef: Vermont Cheddar, Leaf Lettuce, Plum Tomato, No Fat Russian Dressing on French Baguette ... 6.25"
21.3,394,2584,"Merlot St. Morillion, 1996, Chile"
21.1,263,1726,"GRILLED TUNA BURGER,  Asian Style"
18.1,154,1031,Chocolate Milk ... 1.50
16.1,119,806,"First Class Platter -  half a 1 1/2 lb. lobster, shrimp, assorted smoked salmons, sturgeon with truffle oil and two salads"
29.3,76,487,Strawberry Italian Soda
18.3,407,2669,"Wraps: W1  Asian Chicken Bok Choy Cabbage, Bean Sprouts, Mandarin Orange mixed with a Low Sodium Ginger Sesame Dressing ... 6.25"
34.2,300,1978,Braised Pork Loin stuffed with sweet sausage and served with artichoke and zucchini
9.4,257,1695,New York Style Cheesecake With strawberry sauce
35.8,389,2547,"Diver Sea Scallops, sauteed vegetables & lentil salad"
32.7,33,218,Beefeater Gin
16.8,404,2648,Kung Pao Chicken Wings. Spicy...served with Blue cheese
8.5,125,847,"GRAVLAX SALMON, DILL-MARINATED"
28.1,183,1227,"Merlot, Rombauer Vineyards, 1997. (Napa Valley)"
29.2,412,2702,"Lamb Chops, Colorado lamb loin chops crusted with toasted cumin, coriander and cracked peppercorns grilled and accompanied by a roasted garlic and sage aioli served with rosemary roasted new potatoes and fresh vegetables"
13.8,110,732,Cheeseburger
21,305,2009,St. Jacques PolÃƒÂ©es
37.6,369,2423,"Breganze de Breganze, Maculan"
21.9,164,1101,Espresso*
10.2,173,1153,"Cotes de Gascogne, Domaine Duffour, 1999 (Gascogne)"
20.1,92,599,"SHEPHERDS PIE CROQUETTES Minced Vegetables Surrounded by Mashed Potatoes in a croquette (Basil Moo Shu Roll, Pickled Cabbage)"
18.2,67,425,ORANGE BEEF
28.8,232,1521,"Chardonnay, Iron Horse 95"
14.1,327,2150,Shrimp Cocktail
13.2,14,98,Boneless Bar-B-Q Spare Ribs
24.2,169,1134,Grilled Chicken Salad
22.1,351,2308,CALABRIA PEPPERONI mozzarella & tomatoes
18.8,346,2276,"Specialty Sandwiches: #1  Cajun Chicken: Low Fat Alpine Lace Cheese, Radicchio with a Yogurt Dill Dressing on Country Italian Bread ... 6.25"
29.2,396,2595,"Cabernet Sauvignon, Domaine St. George"
21.8,317,2085,Fraise
27.5,102,675,"Slow Poached Farm Egg In a Jar- with Maine lobster, crosnes and sea urchin froth"
25,176,1174,Flavored Coffee of the day ... ..96 ... 1.18 ... 1.44
24.1,11,75,"ChÃƒÂ¢teau de PocÃƒÂ©, Touraine, 1999, Sauvignon"
30.8,308,2029,"Cobb Salad:  Poached Chicken Breast, Sliced Avacado, Sprouts, Mushrooms over our Crisp Garden Salad ... 5.95"
18.3,124,840,Chargrilled Burger with Roquefort Cheese & Shoestrings
24,209,1373,Fried 1/2 Chicken w. Chicken Fried Rice
27.9,407,2668,"Pan Fried Scallops with Anchovy, Capers & Lemon"
8.7,95,625,"Great Western, Extra Dry"
29.7,252,1660,Any Side Vegetable Salad
28.6,117,792,Chocolate Mousse
20.1,398,2605,"Bonny Doon Riesling Pacific Rim 1995, Calif."
34.3,325,2136,"Specialty Sandwiches: #3  Smoked Breast of Turkey: Brie Cheese, Leaf Lettuce, Plum Tomato & Honey Mustard on a French Baguette ... 6.25"
28.6,86,560,Assorted Smoked Salmon & Shrimp
23.8,395,2593,"Merlot, Domaine de Moulines, 1999, (Vin de Pays Du gard)"
31,38,244,"Albarino, Morgadio, 1999. (Spain)"
34.6,325,2140,Margherita Pizza
20.2,131,876,Creamed Spinach
13.4,222,1456,Linie Aquavit
29.6,356,2338,Chicken Chop Suey
23,286,1888,"Gruet Brut, NV, New Mexico"
9.9,142,951,Twelve Dancing Shrimp
26.2,332,2191,Roasted Baby Lamb Chops: full rack of herb crusted baby chops & three vegetable antipasti
24.7,237,1564,"KRUG, GRANDE CUVEE, BRUT CHAMPAGNE NV"
20.1,312,2054,Chicken Quesadilla  8.50
18.9,361,2367,Hot & Spicy Shredded Pork
27.5,184,1233,"Calvados Cocktail: Calvados, OJ, Triple Sec, Orange Bitters"
28.9,388,2542,1 lb Chilled Lobster
9.2,247,1626,"Chianti Classico Fonterutoli, 1995"
21.8,73,467,Calvados Busnel Hors dAge
21.2,411,2689,Pot Roast Rabbit with Fennel & Olives
24.5,25,165,Pineapple Duck
23.7,36,237,"Portuguese Fishermans Stew. Cod, Mussels, Clams and Chorizo in a Saffron Tomato Broth...Garlick Toasts"
27.9,138,922,Fried Wonton (12)
27.8,27,176,Cinnamon Sticky Buns ...2.25
27.2,285,1878,Petite Fours
21.3,258,1705,"Pinot Noir, Indigo Hills"
21.8,312,2058,1/2 Lobster
27.6,281,1856,COKE
19,385,2524,Fried 1/2 Chicken w. French Fries
25.8,243,1603,Chicken w. Brococli
9.7,66,424,"GRILLED AHI TUNA ON BRAISED SHIITAKES WITH WILTED FRISEE AND A CRACKED MUSTARD INFUSION SAUCE, BASIL AIOLI"
17.3,350,2305,Half a 1 1/2 lb. Lobster Cocktail
12.8,346,2279,Joes Sizzling Chicken Fajitas
32.4,306,2016,"VINE-RIPE TOMATOES WITH SNOW WHITE ANCHOVIES, BASIL AND ONIONS"
22.7,256,1688,"Groth 1994, Napa"
19.8,69,442,"Crispy red corn relleno filled with Isacs roasted duck and black bean mole, jalapeno - mango salsa and crÃƒÂ¨me fraiche.  Eight Fifty"
14.7,156,1046,"White Meritage, Conundrum, Caymus Vinyards, 1999 (Napa Valley)"
24.3,114,773,"Sangiovese 1997, Showket (Napa)"
33.1,144,960,GENERAL TSOS CHICKEN Chunks chicken lightly fried w. hot bean sauce. This plate was devised by a private chef of General Tsos who was a famous general in Szechuan army.
11,327,2154,"Zinfandel, Clos Du Bois"
15.8,122,822,HOT FUDGE NAPOLEON
32.4,157,1054,"Byron, Pinot Noir, Santa Maria Valley, USA 1997"
24.7,249,1644,"Scallop & Beef  Sliced prime filet of beet & round scallops sauteed w. snow pea pods, baby corn, straw mushroom in brown sauce. A real treat!"
24.2,335,2206,"Meursault Perrieres, Latour Giraud 1995"
11.1,366,2401,A Snifter of Marc with biscotti
19.2,167,1117,Fried Boneless Chicken
33.3,322,2119,"Bandol Blanc, Pibarnon, 1998 (Provence)"
24.1,328,2158,"Chateau Olivier, Grand Cru Classe De Graves 1995 (Bordeaux)"
27.4,61,387,"Mayacamas 1991, Napa"
28.4,134,898,Raspberry tart
23.8,28,183,Smoked Haddock Chowder with Homemade Crackers
20.1,382,2505,Onion Soup GratinÃƒÂ©e
29.6,117,787,"Puligny-Montrachet, Chanson 1995"
29.8,334,2201,Christers Champagne Cocktail with Black Currant Sorbet
32.8,401,2626,Sweet & Sour Chicken
8.7,127,855,La Chiripada Vino Sonrojo (NM)
22,421,2771,Gordons Gin
22.7,112,752,"Caesar Salad with Cajun Shrimp. Fresh Romaine tossed with Ceasar Drissing, Croutons"
31.3,297,1961,Beef w. Pepper & Tomatoes
17.1,173,1155,Fresh Squeezed OJ or Grapefruit Juice   Small ...1.75  Large ...2.95
33.4,162,1082,Avocado Stuffed with Crabmeat
16.9,422,2773,"Grilled ahi tuna on braised shitakes with wilted frisee and a cracked mustard infustion sauce, basil aioli.  Twenty Four"
23,418,2742,Gratin Dauphinois
15.5,106,706,wakame and cucumber salad with ume and shiso
17.8,80,514,mesclun salad with sesame leaf and watercress
24.7,4,31,"Chardonnay, Glass Mountain"
19.4,71,455,"Barbera DAsti, Camp Du Rouss, Coppo, 1997. (Piedmont)"
21.3,231,1516,San Pallegrino
28.6,288,1904,"Wraps: W3  Thanksgiving Fresh Carved Turkey, No Fat Stuffing with our home-made Cranberry Sauce ... 6.25"
23.7,282,1859,"Pinot Noir, Pedroncelli"
24.1,186,1244,Bamboo Steamed Vegetables
13,126,852,"Cabernet Sauvignon, Girard, 1996. (Napa Valley)"
25.5,136,907,Fresh Brewed Coffee
30.9,183,1224,Tuna Spring Roll
20.1,213,1398,Fettuccine Alfredo FETTUCCINE WITH CREAM SAUCE
27.1,144,961,"Merlot, Newton 95"
11.9,380,2492,Insalata Di la Casa WITH GRILLED CHICKEN
22.3,235,1547,Foie Gras Torchon - with muscat gelÃƒÂ©e and toasted country bread
22.2,245,1617,"Calabria Pizza - pepperoni, mozzarella & tomato"
23.6,422,2778,"Pistachio and Strawberry Tart, Sour Cream and Kirsch Ice Cream"
32.7,134,901,"Pouilly Fume, Ladoucette 1994, Loire"
19,0,5,Roast Pork w. Mushrooms
25.2,243,1604,Tea
25.3,264,1736,"Sancerre, Gueneau"
27.1,138,926,"Sangiovese 1997, Showket (Napa)"
23.6,183,1220,"Selaks 1996, N. Zealand"
33.1,264,1742,Pork w. Bean Curd
32.5,317,2086,Barolo Rocche dei Manzoni 1993 DOCG (Piedmont)
30,184,1230,House Special Chow Fun
26.2,411,2693,Rhode Island Fried Calamari. Hot Peppers & Garlic
31.6,412,2701,Sullivan County Foie Gras and Diver Scallop - with sunchoke soup and toasted Marcona almonds
17.2,324,2131,Rib Tips w. Garlic Sauce w. Beef Fried Rice
31.6,340,2234,PERNOD
20.2,1,8,Hot Chocolate with whipped cream
8.6,222,1457,"Cabernet Sauvignon/Merlot, Heges, 1998. (Washington)"
16.7,197,1309,Sweet & Sour Pork & Chicken Mixed
24,278,1834,"Scampi. Shrimp and Garlic with White Wine, Tomatoes and Mushrooms over Linguine"
20.1,187,1246,Entrana GRILLED SKIRT STEAK
24.3,72,464,Steak au Poivre with pommes frites and spinach
24.3,155,1035,Ribolita Soup - Tuscan white bean soup
14.8,213,1396,Beef w. Pepper & Tomatoes
25,250,1646,"Champagne Cocktail: Champagne, Sugar Cube, Bitters"
22.2,280,1848,"DUCK CONFIT, POTTED AND CRISPED WITH A RAGOUT OF TOMATOES, EGGPLANT & FARRO"
17,143,956,Grilled Dry Aged Rib Eye Steak
29.3,274,1806,"Cabernet Sauvignon, Bodega Weinert, 1995. (Argentina)"
27.5,4,29,San Pallegrino
14.6,92,597,Kung Po Shrimp
25.6,242,1597,"Brandy Alexander: Brandy, Cream, Creme de Cacao"
9.5,195,1291,Grilled 1 1/2 lb. Maine Lobster
16.4,128,861,Rice Pilaf with Orzo
21.5,85,552,Lobster Chow Mein
22.6,360,2364,Calamari Fritti FRIED SQUID
22.5,272,1792,"Wraps: W2  Thai Chicken Chopped Lettuce, Shaved Carrots with a Lemongrass Dressing ...6.25"
20.4,70,453,Fried Chicken Nuggets (12) w. Chicken Fried Rice
21,350,2303,Cheese Danish ...1.60
22.4,223,1464,"Fume Blanc, Ferrari-Carano, 1999 (Sonoma)"
33.1,275,1814,"Cabernet, Pedroncelli"
26.6,250,1651,"Chardonnay, Riverstone, J. Lohr"
18.3,80,518,"Insalata Di Gamberi e Avocado SHRIMP WITH AVOCADO, LEMON, HERBS & DRESSING"
31.1,340,2230,Lobster Steak with Hash-Brown Potatoes: Lemon Brown Butter
32.5,395,2590,Fresh Squeezed OJ or Grapefruit Juice   Small ...1.75  Large ...2.95
27.5,283,1869,Beefeater Gin
17.8,50,319,Fresh Squeezed OJ or Grapefruit Juice   Small ...1.75  Large ...2.95
22.8,239,1578,Orange Smoked Salmon
14.1,360,2362,"Markham 1995, Napa"
30.8,401,2631,Seared Ahi
20.4,345,2268,"Specialty Sandwiches: #9  Honey Glazed Ham:  Mozzarella, Caramelized Onions & Honey Mustard on Eight Grain Ciabatta ... 6.25"
19.8,16,110,Apricots
29.3,285,1881,"Cabernet Sauvignon-Sangiovese, Firebreak, Shafer, 1997. (Napa Valley)"
20.7,308,2030,"Chardonnay, Carneros, Beaulieu"
26.7,282,1857,Gouden Carolus
22.9,102,672,"Chenin Blanc, Pine Ridge, 1999 (Napa Valley)"
25.8,197,1310,Fricassee of Asparagus and Morels with a sweet garlic flan
12.5,253,1669,Graves
24.8,111,746,"Coteaux du Languedoc, Prieure De St-Jean De Babian 1996 (Languedoc)"
21.8,375,2464,Sandeman Don Fino Dry Sherry
26.3,421,2766,Red Zinger Iced Herbal Tea
30.8,239,1576,Chicken Finger
34.8,279,1839,654 Kracher #1 Beerenauslese Cuvee 2002
35.4,319,2097,Fresh Grilled Shrimp - with green cabbage and gruyÃƒÂ¨re salad
24.3,97,635,"Filet Mignon, grilled filet of beef tenderloin accompanied by a brandy, shiitake mushroom cream sauce, served with rosemary roasted new potatoes and fresh vegetables"
21.6,90,578,"Gewurztraminer Fieldstone 1996, Sonoma"
32,411,2696,Mussels with Garlic and White Wine
18,43,274,Bife Di Churrasco SHELL CHURRASCO [grilled rump]
22.5,364,2385,SAUTEED SPINACH
22.3,298,1965,Shrimp w. String Bean
21.4,310,2040,Green Tea Ice Cream
23.7,331,2186,Bar-B-Q Spare Rib Tips
32.2,249,1639,Mesclun Salad*
19.8,136,908,Bananas
21.2,287,1900,"Chateau Montelena, 1995, Napa"
29,274,1805,"House Salad. A mix of Romaine and Mesclun with Red Onions, Tomatoes and Cucumbers...choice of Dressing"
21.3,206,1356,Unfiltered Apple Juice
34.5,338,2222,Steamers with Drawn Butter
34.2,246,1623,Bluefish
26.3,15,103,"Chef Salad, Fresh Roasted Turkey, Ham, Cheese and Egg over Our Crisp Garden Salad ... 5.95"
19,417,2737,Pacific Coast Sea Bass
31.8,132,888,STILTON CHEESE & WALNUTS WITH A GLASS OF PORT WINE
25.8,181,1210,"By the bottle: Benziger, Chardonnay, Carneros, USA 1999"
24.5,54,348,Field greens vinaigrette
19.9,295,1947,SOFT SHELL CRAB (in season)
11.7,292,1928,"Gruet, Brut, NV. (New Mexico)"
24.3,335,2207,"Pouilly Fuisse, Bouchard 1996"
35.3,297,1960,Cherrystone Clams. Six on the half shell...with any of the Littleneck garnishes
20.6,390,2553,Hunan Chicken
25.4,177,1181,"Cabernet Sauvignon, Phiippe Lorraine"
36.7,423,2779,"Domaine Carneros, Brut, 1992, Napa"
22.3,184,1229,Beef and Mushroom Pappardelle
21.7,96,629,"Zinfandel, Clos Du Bois"
17.2,418,2746,"Sauvignon Blanc Babich, 1997, New Zealand"
22.3,194,1285,"NUITS ST. GEORGE, DOMAINE DE LARLOT, PREMIER CRU 95"
20.5,100,654,"Apple Fruit Spritzer - Apple juice, club soda & a twist of lime"
16,22,149,"Onion Strings. Thinly sliced, battered and fried"
17.8,188,1255,Chicken w. Snow Pea Pods
22.1,246,1624,Ice Cream
27.3,21,142,"Stags Leap 1995, Napa"
20.3,65,416,"Specialty Sandwiches: #4  Roasted Chicken:  Goat Cheese, Basil & Roasted Red Onions with a Rosemary Herb Dressing on Seeded Italian ... 6.25"
34.6,252,1661,Beef w. Broccoli in Garlic Sauce
27.8,384,2520,FILETTI DI SOGLIOLA CON ZUCCHINE E CARCIOFI
12.4,67,429,"Crispy Chicken Wings w. Garlic Sauce, w. Pork Fried Rice"
32,226,1485,"Kistler 1996, Sonoma"
23.8,368,2419,"Pinot Grigio Benefizium Porer, Alois Lageder, Alto Adige, Italy 1999"
26.3,22,152,"Tuna Burger. Freshly ground Tuna, Chili Paste, Crumbs and Spices"
22.5,0,3,"Mango Carnitas Enchiladas, slowly simmered lean pork loin, onions, and spices layered between two blue corn tortillas with mango chutney, salsa, sour cream, and white cheddar cheese smothered with green chile and garnished with sour cream and corn salsa served with pinto beans and Basmati rice"
20,131,877,"Scampi Shrimp and Garlic with White Wine, Tomatoes and Mushrooms over Linguine"
25.1,200,1326,"Beaujolais Brouilly, Chateau de la Chaize 1996 (Burgundy)"
18.9,6,46,"Grilled Vegetables Including Portobellos, Squash, Eggplant & Zucchini with Melted Mozzarella and a Cucumber Dill Dressing served on Seven Grain Health Bread"
21.8,103,680,"Warm asparagus, vinaigrette"
32,220,1448,Cheddar Cheeseburger
9.5,170,1139,"Canoe Ridge, Merlot, Columbia Valley, USA 1997"
19,15,108,"LHereu: Cava, Macabeo, Xarel-Lo"
27.6,311,2048,Moet & Chandon Brut Imperial N/V
28.8,194,1288,"CABERNET SAUVIGNON, JORDAN 93"
33.9,326,2143,Cappuccino
20.9,422,2774,CAVIAR with Chopped Egg
17.5,178,1189,Skewered Shrimp
19.2,391,2565,Kirschwasser
13.2,79,508,Duchess potatoes
8.9,327,2151,"TAOS FARMERS STACK a seasonal harvest of roasted and grilled baby & gourmet vegetables, steamed greens and mashed potatoes with a Madiera mushroom gravy **"
28.9,140,934,"Eyrie Vineyards 1996, Willamette, Oregon"
22.4,26,168,"Domaine Chandon, Reserve"
13.3,380,2494,"Roasted Fennel Ravioli with tomato, pesto and crispy Parmesan"
34,373,2454,"FRESH RAINBOW TROUT an 8 oz. boneless rainbow trout grilled and topped with a lemon, herb butter served with steamed Basmati rice and fresh vegetables"
21,46,290,Smoked Salmon. Thinly sliced...Pumpernickle Toast
19.9,30,196,"Jarvis 1994, Napa"
39.7,389,2551,Pacific Coast Sea Bass
23.9,250,1650,salad of soba noodles with marinated vegetables
20.3,235,1545,Apricot Wine w/ soda & fruit garnish
23.5,258,1699,Sanka
25.2,71,459,"Margherita Pizza - tomato, mozzarella & basil"
19.3,121,816,Shrimp w. String Bean
15.3,214,1404,"Coconut Shrimp Jumbo shrimp, battered and dipped in shredded coconut, fried golden brown and served with a Chinese pesto dipping sauce, pineapple chutney, yogurt cucumbers and steamed rice"
22.5,58,371,Smoked Trout Pate with Croutons
23.8,303,1999,Low Fat Scones:  Blueberry Ã¢Â€Â¢ Raisin Ã¢Â€Â¢ Cranberry ...1.75
18.6,342,2247,"Scallop & Beef  Sliced prime filet of beet & round scallops sauteed w. snow pea pods, baby corn, straw mushroom in brown sauce. A real treat!"
27.9,233,1535,"St. Emilion, Chat. Fleur Cardinale, 1995"
